311919759388192769	positive	Zum Glüch wurde der neue Papst heute gekürt %PosSmiley	zu Glüch werden die neu Papst heute küren %PosSmiley	APPRART NN VAFIN ART ADJA NN ADV VVPP ITJ	8/MO 1/NK 0/-- 6/NK 6/NK 3/SB 8/MO 3/OC 8/NK	case=dat|Sentiment::markable_1::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|gender=neut|Sentiment::markable_1::Sentiment=True|EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|num=sg|EmoExpression::markable_2::Sarcasm=false|Sentiment::markable_1::Polarity=positive|Sentiment::markable_1::Intensity=medium|EmoExpression::markable_2::EmoExpression=True case=dat|gender=neut|num=sg|EmoExpression::markable_2::EmoExpression=True|Sentiment::markable_1::Sentiment=True mood=ind|Target::markable_3::Anaphref=empty|Target::markable_3::Preferred=true|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True|pers=3|num=sg|tense=past case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=nom|num=sg|Target::markable_3::Target=True|gender=masc|pos=True|Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Uncertain=false|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::Intensity=medium|EmoExpression::markable_4::EmoExpression=True|EmoExpression::markable_4::Polarity=positive|Sentiment::markable_1::Sentiment=True
312122309030866945	positive	das stimmt . Wobei ... der Papst schon eine andere Nummer ist als der google reader %PosSmiley	die stimmen . wobei ... die Papst schon eine andere Nummer sein als die google reader %PosSmiley	PDS VVFIN $. PWAV $. ART NN ADV ART PIAT NN VAFIN KOKOM ART NN ADJA ITJ	23/SB 21/-- 23/-- 3/-- 4/-- 7/NK 12/SB 12/MO 11/NK 11/NK 12/SB 5/-- 15/CM 15/NK 10/CC 17/NK 15/NK	case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=acc|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|EmoExpression::markable_39::SubjectiveFact=false|EmoExpression::markable_39::EmoExpression=True|gender=masc|EmoExpression::markable_39::Polarity=positive|num=sg|EmoExpression::markable_39::Sarcasm=false|EmoExpression::markable_39::Uncertain=false|EmoExpression::markable_39::Intensity=medium
311974568514445312	positive	Ich werde den Papst nur noch Francis nennen und dabei an den Katerdetektiv denken %PosSmiley	ich werden die Papst nur noch Francis nennen und dabei an die Katerdetektiv denken %PosSmiley	PPER VAFIN ART NN ADV ADV NE VVINF KON PAV APPR ART NN VVINF ITJ	19/SB 17/-- 21/NK 25/OA 25/MO 22/MO 25/OA 19/OC 25/CD 31/NK 31/OP 30/NK 28/NK 26/CJ 31/NK	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ case=acc|gender=masc|num=sg _ _ _ _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg pers=3|num=pl|tense=pres|mood=ind EmoExpression::markable_40::Sarcasm=false|EmoExpression::markable_40::EmoExpression=True|EmoExpression::markable_40::Uncertain=false|EmoExpression::markable_40::Intensity=medium|EmoExpression::markable_40::SubjectiveFact=false|EmoExpression::markable_40::Polarity=positive
312116256440467456	positive	Nein wir berichten nicht über den neuen Papst %PosSmiley Aber die heilligen Dance Hörer in diesem Lande sollten ...	Nein wir berichten nicht über die neu Papst %PosSmiley aber die heilligen Dance Hörer in dies Land sollen ...	NN PPER VVFIN PTKNEG APPR ART ADJA NN ITJ KON ART ADJA NE NN APPR PDAT NN VMFIN $.	15/-- 18/SB 16/OC 18/NG 18/OP 23/NK 23/NK 20/NK 33/DM 33/CD 29/NK 29/NK 29/PNC 33/SB 29/MNR 32/NK 30/NK 18/CJ 33/--	case=nom|gender=masc|num=sg case=nom|*=True|num=pl|pers=1 case=acc|pers=3|*=True _ _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg EmoExpression::markable_41::EmoExpression=True|EmoExpression::markable_41::Uncertain=false|EmoExpression::markable_41::Intensity=medium|EmoExpression::markable_41::SubjectiveFact=false|EmoExpression::markable_41::Polarity=positive|EmoExpression::markable_41::Sarcasm=false _ case=acc|gender=fem|num=pl case=acc|gender=fem|num=pl|pos=True case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=3|num=pl|tense=past|mood=subj _
311931621613899776	positive	hey leute na wie geht es euch ? es gibt wieder einen neuen papst %PosSmiley	Hey leute na wie gehen es ihr ? es geben wieder eine neu Papst %PosSmiley	NE ADJA ITJ KOKOM VVFIN PPER PPER $. PPER VVFIN ADV ART ADJA NN ITJ	24/DA 20/UC 24/DM 24/CM 19/-- 24/EP 24/DA 26/-- 10/EP 8/-- 10/MO 14/NK 14/NK 10/OA 14/NK	_ case=nom|*=True|num=pl _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 case=dat|*=True|num=pl|pers=2 _ case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg EmoExpression::markable_42::Sarcasm=false|EmoExpression::markable_42::Uncertain=false|EmoExpression::markable_42::Polarity=positive|EmoExpression::markable_42::Intensity=medium|EmoExpression::markable_42::EmoExpression=True|EmoExpression::markable_42::SubjectiveFact=false
311906235903528960	positive	In Wasserburg läuten die katholischen Glocken . Jetzt ist die Nachricht analog getwittert . %PosSmiley Papst habemuspapam	in Wasserburg läuten die katholisch Glocke . jetzt sein die Nachricht analog getwittert . %PosSmiley Papst habemuspapam	APPR NN VVFIN ART ADJA NN $. ADV VAFIN ART NN ADJD VVPP $. ITJ NN NE	18/MO 16/NK 15/-- 21/NK 21/NK 18/SB 21/-- 13/MO 7/-- 11/NK 9/SB 13/MO 9/PD 13/-- 16/NK 14/-- 16/NK	Target::markable_45::Target=True|Sentiment::markable_43::Sentiment=True|Target::markable_45::Anaphref=empty|Target::markable_45::Preferred=true case=dat|gender=neut|Target::markable_45::Target=True|num=sg|Sentiment::markable_43::Sentiment=True pers=3|num=pl|tense=pres|mood=ind|Target::markable_45::Target=True|Sentiment::markable_43::Sentiment=True case=nom|gender=masc|Target::markable_45::Target=True|num=pl|Sentiment::markable_43::Sentiment=True case=nom|num=pl|gender=masc|Target::markable_45::Target=True|Sentiment::markable_43::Sentiment=True|pos=True case=nom|gender=masc|Target::markable_45::Target=True|num=pl|Sentiment::markable_43::Sentiment=True Target::markable_45::Target=True|Sentiment::markable_43::Sentiment=True Target::markable_45::Target=True|Sentiment::markable_43::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Target::markable_45::Target=True|Sentiment::markable_43::Sentiment=True case=nom|gender=fem|Target::markable_45::Target=True|num=sg|Sentiment::markable_43::Sentiment=True case=nom|gender=fem|Target::markable_45::Target=True|num=sg|Sentiment::markable_43::Sentiment=True Target::markable_45::Target=True|Sentiment::markable_43::Sentiment=True|pos=True Target::markable_45::Target=True|Sentiment::markable_43::Sentiment=True Sentiment::markable_43::Sentiment=True case=nom|EmoExpression::markable_46::EmoExpression=True|EmoExpression::markable_46::Uncertain=false|gender=masc|Sentiment::markable_43::Sentiment=True|EmoExpression::markable_46::SubjectiveFact=false|EmoExpression::markable_46::Polarity=positive|num=sg|EmoExpression::markable_46::Intensity=medium|EmoExpression::markable_46::Sarcasm=false case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg
311922352701198338	neutral	Im Vatikan wird gerade per weissen Rauchenzeichen kommuniziert , dass ein neuer Pädophiler entdeckt wurde . Papst %PosSmiley	in Vatikan werden gerade per weiß Rauchenzeichen kommunizieren , dass eine neu Pädophiler entdecken werden . Papst %PosSmiley	APPRART NN VAFIN ADV APPR ADJA NN VVPP $, KOUS ART ADJA NN VVPP VAFIN $. NN ITJ	25/MO 18/NK 17/-- 25/MO 25/MO 24/NK 22/NK 20/OC 25/-- 32/CP 30/NK 30/NK 32/SB 32/OC 25/MO 32/-- 16/-- 17/NK	case=dat|gender=masc|num=sg|Sentiment::markable_47::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_47::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_47::Sentiment=True Sentiment::markable_47::Sentiment=True Sentiment::markable_47::Sentiment=True case=dat|gender=fem|num=pl|pos=True|Sentiment::markable_47::Sentiment=True case=dat|gender=fem|num=pl|Sentiment::markable_47::Sentiment=True Sentiment::markable_47::Sentiment=True Sentiment::markable_47::Sentiment=True Sentiment::markable_47::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_47::Sentiment=True case=nom|gender=masc|num=sg|pos=True|Sentiment::markable_47::Sentiment=True case=nom|EmoExpression::markable_51::Uncertain=false|gender=masc|EmoExpression::markable_51::EmoExpression=True|Sentiment::markable_47::Sentiment=True|EmoExpression::markable_51::SubjectiveFact=true|num=sg|EmoExpression::markable_51::Sarcasm=false|EmoExpression::markable_51::Polarity=negative|EmoExpression::markable_51::Intensity=medium Sentiment::markable_47::Sentiment=True pers=3|num=sg|tense=past|mood=ind|Sentiment::markable_47::Sentiment=True Sentiment::markable_47::Sentiment=True case=nom|num=sg|Target::markable_49::Target=True|gender=masc|Target::markable_49::Anaphref=empty|Target::markable_49::Preferred=true|Sentiment::markable_47::Sentiment=True case=nom|EmoExpression::markable_50::Intensity=medium|gender=masc|EmoExpression::markable_50::SubjectiveFact=false|EmoExpression::markable_50::Uncertain=false|EmoExpression::markable_50::EmoExpression=True|Sentiment::markable_47::Sentiment=True|num=sg|EmoExpression::markable_50::Polarity=positive|EmoExpression::markable_50::Sarcasm=false
311902524330344449	positive	Ein neuer Papst ist gewählt ! Wir halten uns aus diesem Thema heraus %PosSmiley	eine neu Papst sein wählen ! wir halten wir aus dies Thema heraus %PosSmiley	ART ADJA NN VAFIN VVPP $. PPER VVFIN PPER APPR PDAT NN PTKVZ ITJ	21/NK 21/NK 22/SB 18/-- 22/PD 23/-- 8/SB 6/-- 8/OA 8/MO 12/NK 10/NK 8/SVP 13/NK	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind case=acc|*=True|num=pl|pers=1 _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ EmoExpression::markable_52::EmoExpression=True|EmoExpression::markable_52::Uncertain=false|EmoExpression::markable_52::Intensity=medium|EmoExpression::markable_52::SubjectiveFact=false|EmoExpression::markable_52::Polarity=positive|EmoExpression::markable_52::Sarcasm=false
312084219847385089	negative	Wieder kein Moslem als Papst . %NegSmiley	wieder keine Moslem als Papst . %NegSmiley	ADV PIAT NN KOKOM NN $. ITJ	17/MO 17/NK 14/-- 17/CD 18/NK 19/-- 6/NK	Sentiment::markable_53::Sentiment=True case=nom|Target::markable_55::Target=True|num=sg|Target::markable_55::Anaphref=empty|gender=masc|Sentiment::markable_53::Sentiment=True|Target::markable_55::Preferred=true case=nom|gender=masc|num=sg|Sentiment::markable_53::Sentiment=True|Target::markable_55::Target=True Target::markable_55::Target=True|Sentiment::markable_53::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_53::Sentiment=True|Target::markable_55::Target=True Sentiment::markable_53::Sentiment=True EmoExpression::markable_56::SubjectiveFact=false|EmoExpression::markable_56::Intensity=medium|EmoExpression::markable_56::EmoExpression=True|EmoExpression::markable_56::Polarity=negative|Sentiment::markable_53::Sentiment=True|EmoExpression::markable_56::Uncertain=false|EmoExpression::markable_56::Sarcasm=false
311905048860966915	positive	Das sind doch eher veraltete Ansichten . Dann müsste ja der Papst mit blauem Rauch gemeldet werden . %PosSmiley	die sein doch eher veraltet Ansicht . dann müssen ja die Papst mit blau Rauch melden werden . %PosSmiley	PDS VAFIN ADV ADV ADJA NN $. ADV VMFIN ADV ART NN APPR ADJA NN VVPP VAINF $. ITJ	9/SB 7/-- 9/MO 12/MO 13/NK 9/PD 13/-- 9/MO 7/-- 9/MO 12/NK 9/SB 12/MNR 15/NK 13/NK 17/OC 9/OC 17/-- 18/NK	case=nom|gender=neut|num=sg pers=3|num=pl|tense=pres|mood=ind _ _ case=acc|gender=fem|num=pl|pos=True case=acc|gender=fem|num=pl _ _ pers=3|num=sg|tense=past|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg _ _ _ EmoExpression::markable_57::Uncertain=false|EmoExpression::markable_57::Intensity=medium|EmoExpression::markable_57::Sarcasm=false|EmoExpression::markable_57::SubjectiveFact=false|EmoExpression::markable_57::EmoExpression=True|EmoExpression::markable_57::Polarity=positive
311908081497944067	positive	Nur ' mal zwischendurch - auch wenn die Spannung steigt Papst - wer wird neuer Präsi bei 1860  ? %PosSmiley	nur ' mal zwischendurch - auch wenn die Spannung steigen Papst - wer werden neu Präsi bei @card@ ? %PosSmiley	ADV $( ADV ADV $( ADV KOUS ART NN VVFIN NN $( PWS VAFIN ADJA NN APPR CARD $. ITJ	29/MO 20/-- 23/MO 29/MO 23/-- 28/MO 28/CP 28/NK 29/SB 19/-- 29/OA 30/-- 33/SB 30/PAR 35/NK 33/PD 29/MO 36/NK 37/-- 36/MO	_ _ _ _ _ _ _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg _ case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ _ _ EmoExpression::markable_58::Polarity=positive|EmoExpression::markable_58::Sarcasm=false|EmoExpression::markable_58::SubjectiveFact=false|EmoExpression::markable_58::Uncertain=false|EmoExpression::markable_58::Intensity=medium|EmoExpression::markable_58::EmoExpression=True
312088942738567168	positive	Guten Morgen ! Die Welt ist geretten , weil es ist ein Argentinier %PosSmiley MOIN PAPST	gut Morgen ! die Welt sein geretten , weil es sein eine Argentinier %PosSmiley Moin Papst	ADJA NN $. ART NN VAFIN VVPP $, KOUS PPER VAFIN ART NN ITJ NE NN	22/NK 20/-- 22/-- 5/NK 6/SB 3/-- 6/PD 7/-- 11/CP 11/SB 6/MO 13/NK 11/PD 15/NK 13/NK 11/PD	case=acc|EmoExpression::markable_60::Intensity=medium|EmoExpression::markable_60::SubjectiveFact=false|gender=fem|pos=True|EmoExpression::markable_60::Uncertain=false|EmoExpression::markable_60::Polarity=positive|num=pl|EmoExpression::markable_60::EmoExpression=True|EmoExpression::markable_60::Sarcasm=false case=acc|gender=fem|num=pl _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ _ case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg EmoExpression::markable_59::Polarity=positive|EmoExpression::markable_59::Intensity=medium|EmoExpression::markable_59::SubjectiveFact=false|EmoExpression::markable_59::EmoExpression=True|EmoExpression::markable_59::Sarcasm=false|EmoExpression::markable_59::Uncertain=false case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg
311928831453847552	positive	Der ist ja putzig ! %PosSmiley Der neue Papst .	die sein ja putzig ! %PosSmiley die neu Papst .	PDS VAFIN ADV ADJD $. ITJ ART ADJA NN $.	18/SB 16/-- 18/MO 18/PD 20/-- 20/DM 9/NK 9/NK 6/-- 9/--	case=nom|Sentiment::markable_61::Sentiment=True|num=sg|Target::markable_63::Target=True|gender=masc|Target::markable_63::Anaphref=markable_65|Target::markable_63::Preferred=true pers=3|Sentiment::markable_61::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_61::Sentiment=True Sentiment::markable_61::Sentiment=True|EmoExpression::markable_64::SubjectiveFact=false|EmoExpression::markable_64::EmoExpression=True|pos=True|EmoExpression::markable_64::Intensity=medium|EmoExpression::markable_64::Polarity=positive|EmoExpression::markable_64::Uncertain=false|EmoExpression::markable_64::Sarcasm=false Sentiment::markable_61::Sentiment=True Sentiment::markable_61::Sentiment=True|EmoExpression::markable_66::Polarity=positive|EmoExpression::markable_66::EmoExpression=True|EmoExpression::markable_66::Uncertain=false|EmoExpression::markable_66::Intensity=medium|EmoExpression::markable_66::Sarcasm=false|EmoExpression::markable_66::SubjectiveFact=false case=nom|Target::markable_65::Anaphref=empty|Sentiment::markable_61::Sentiment=True|num=sg|Target::markable_65::Preferred=true|gender=masc|Target::markable_65::Target=True case=nom|Sentiment::markable_61::Sentiment=True|num=sg|gender=masc|Target::markable_65::Target=True|pos=True case=nom|gender=masc|Sentiment::markable_61::Sentiment=True|num=sg|Target::markable_65::Target=True Sentiment::markable_61::Sentiment=True
312119689000148992	neutral	... der Papst promovierte dort , wo Kardinal Lehmann kurz zuvor noch lehrte : in Freiburg !	... die Papst promovieren dort , wo Kardinal Lehmann kurz zuvor noch lehren : in Freiburg !	$. ART NN VVFIN ADV $, PWAV NN NE ADJD ADV ADV VVFIN $. APPR NE $.	10/-- 3/NK 4/SB 1/-- 4/MO 5/-- 13/MO 13/SB 8/NK 11/MO 13/MO 13/MO 5/RC 13/-- 4/MO 15/NK 16/--	_ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=past|mood=ind _ _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pos=True _ _ pers=3|num=sg|tense=past|mood=ind _ _ case=dat|gender=neut|num=sg _
311935213393547264	positive	Glücklich sieht anders aus . Der fängt bestimmt heute Abend an zu twittern. papst	glücklich sehen anders aus . die fangen bestimmt heute Abend an zu twittern. papst	ADJD VVFIN ADV PTKVZ $. PDS VVFIN ADV ADV NN APZR APPR NE ADJA	19/MO 17/-- 19/MO 19/SVP 21/-- 7/SB 5/-- 7/MO 7/MO 7/OA 7/SVP 14/MO 12/NK 7/MO	EmoExpression::markable_67::Intensity=medium|EmoExpression::markable_67::Polarity=positive|EmoExpression::markable_67::Uncertain=false|EmoExpression::markable_67::Sarcasm=false|EmoExpression::markable_67::SubjectiveFact=false|EmoExpression::markable_67::EmoExpression=True|pos=True pers=3|num=sg|tense=pres|mood=ind _ _ _ case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=acc|gender=masc|num=sg _ _ case=dat|*=True|num=sg _
311914216070213633	negative	wah wah wah ... neuer papst , interessiert mich null. !	wah wah wah ... neu Papst , interessieren ich null. !	NE NE NE $. ADJA NN $, VVFIN PRF NE $.	17/PNC 17/PNC 14/-- 17/-- 6/NK 8/SB 6/-- 4/-- 8/OA 8/SB 10/--	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=nom|Target::markable_69::Target=True|gender=masc|Target::markable_69::Anaphref=empty|pos=True|Target::markable_69::Preferred=true|Sentiment::markable_68::Sentiment=True|num=sg|Sentiment::markable_68::Intensity=medium|Sentiment::markable_68::Sarcasm=false|Sentiment::markable_68::Polarity=negative case=nom|gender=masc|Target::markable_69::Target=True|num=sg|Sentiment::markable_68::Sentiment=True Sentiment::markable_68::Sentiment=True EmoExpression::markable_70::SubjectiveFact=false|EmoExpression::markable_70::EmoExpression=True|mood=ind|EmoExpression::markable_70::Polarity=positive|EmoExpression::markable_70::Sarcasm=false|pers=3|Sentiment::markable_68::Sentiment=True|num=sg|tense=pres|EmoExpression::markable_70::Intensity=medium|EmoExpression::markable_70::Uncertain=false case=acc|pers=1|num=sg|Sentiment::markable_68::Sentiment=True|*=True|Source::markable_71::Anaphref=empty|Source::markable_71::Source=True Negation::markable_72::Negation=True|Sentiment::markable_68::Sentiment=True|Negation::markable_72::EmoExpressionRef=emo-expression:markable_70 Sentiment::markable_68::Sentiment=True
311916198017249280	positive	Zur Feier des Tages , eine Mohammed Karikatur : %Link papst	zu Feier die Tag , eine Mohammed Karikatur : %Link papst	APPRART NN ART NN $, ART NE NN $. XY ADJA	22/MO 12/NK 15/NK 13/AG 15/-- 19/NK 19/NK 15/CJ 19/-- 11/-- 11/--	case=dat|gender=fem|num=sg case=dat|EmoExpression::markable_73::EmoExpression=True|EmoExpression::markable_73::Uncertain=false|gender=fem|EmoExpression::markable_73::SubjectiveFact=false|EmoExpression::markable_73::Polarity=positive|num=sg|EmoExpression::markable_73::Intensity=medium|EmoExpression::markable_73::Sarcasm=false case=gen|gender=neut|num=sg case=gen|gender=neut|num=sg _ case=acc|gender=fem|num=sg case=nom|gender=neut|num=sg case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True
311926498695188482	negative	Auf allen Sendern läuft die Papstwahl . Auf BibelTV läuft ein amerikanischer Gospel . Finde den Fehler . Papst habemus ...	auf alle Sender laufen die Papstwahl . auf BibelTV laufen eine amerikanisch Gospel . finden die Fehler . Papst habemus ...	APPR PIAT NN VVFIN ART NN $. APPR NE VVFIN ART ADJA NN $. VVFIN ART NN $. NN NN $.	15/MO 14/NK 12/NK 11/-- 17/NK 15/SB 17/-- 10/MO 8/NK 7/-- 13/NK 13/NK 10/SB 13/-- 14/-- 17/NK 15/OA 17/-- 18/-- 19/NK 20/--	_ case=dat|gender=masc|num=pl case=dat|gender=masc|num=pl pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ _ case=dat|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=subj case=acc|gender=masc|num=sg case=acc|EmoExpression::markable_74::EmoExpression=True|EmoExpression::markable_74::Uncertain=false|EmoExpression::markable_74::Intensity=medium|gender=masc|EmoExpression::markable_74::Polarity=negative|EmoExpression::markable_74::Sarcasm=false|num=sg|EmoExpression::markable_74::SubjectiveFact=false _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _
311942851296636928	neutral	Papst Franziskus hat in Deutschland promoviert . Ist %Link noch frei ?	Papst Franziskus haben in Deutschland promovieren . sein %Link noch frei ?	NN NE VAFIN APPR NE VVPP $. VAFIN XY ADV ADJD $.	24/SB 22/NK 21/-- 27/MO 25/NK 24/OC 27/-- 7/-- 8/SB 8/MO 8/PD 11/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=dat|gender=neut|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg _ pos=True _
311914607340036097	negative	Da ... marschieren Uniformierte zu Marschmusik mit ... Knarren ! Und alle Kapellen spielen durcheinander . Sind die irr ...	da ... marschieren Uniformierte zu Marschmusik mit ... Knarre|Knarren ! und alle Kapelle spielen durcheinander . sein die irren ...	ADV $. VVFIN NN APPR NN PTKVZ $. NN $. KON PIAT NN VVFIN PTKVZ $. VAFIN PDS VVIMP $.	12/-- 13/-- 2/-- 3/SB 3/MO 5/NK 3/SVP 7/-- 8/-- 9/-- 14/JU 13/NK 14/SB 10/-- 14/SVP 15/-- 16/-- 17/SB 17/OC 19/--	_ _ pers=3|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl _ case=dat|gender=fem|num=sg _ _ case=nom|gender=neut|num=sg _ _ case=nom|gender=fem|num=pl case=nom|gender=fem|num=pl pers=3|num=pl|tense=pres|mood=ind EmoExpression::markable_104012641::Sarcasm=false|EmoExpression::markable_104012641::SubjectiveFact=false|EmoExpression::markable_104012641::EmoExpression=True|EmoExpression::markable_104012641::Uncertain=false|EmoExpression::markable_104012641::Polarity=negative|EmoExpression::markable_104012641::Intensity=weak _ pers=3|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl case=nom|*=True|num=pl _
311984810878971905	neutral	Papst - Begeisterung in Rom : Polonäse über den Petersplatz : " Viva , viva il Papa Francesco ! " Tausende Gläubige be ...	Papst - Begeisterung in Rom : Polonäse über die Petersplatz : " Viva , Viva il Papa Francesco ! " <UNKNOWN> Gläubige be ...	NN $( NN APPR NE $. NN APPR ART NN $. $( NE $, NE NE NN NE $. $( ADJA NN NE $.	20/-- 21/-- 21/CJ 23/MNR 24/NK 25/-- 23/CJ 27/MNR 30/NK 28/NK 30/-- 31/-- 27/NK 33/-- 36/PNC 33/CJ 38/PNC 36/CC 38/-- 39/-- 22/NK 20/-- 22/NK 23/--	case=nom|gender=masc|num=sg _ case=nom|gender=fem|num=sg _ case=dat|gender=neut|num=sg _ case=nom|gender=fem|num=sg _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ _ _ case=nom|*=True|num=sg *=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ case=nom|gender=masc|num=pl|pos=True case=nom|gender=masc|num=pl case=nom|*=True|num=sg _
311909570316468224	neutral	Stelle mir gerade vor , wie der neu gewählte Papst gerade die Kardinäle abklatscht und andauernd : " Fuck , ist das kras ...	Stelle ich gerade vor , wie die neu gewählt Papst gerade die Kardinal abklatschen und andauernd : " Fuck , sein die kras ...	NN PRF ADV PTKVZ $, KOUS ART ADJD ADJA NN ADV ART NN VVFIN KON ADJD $. $( NN $, VAFIN ART NN $.	38/SB 38/DA 28/MO 38/MO 28/-- 38/CP 34/NK 33/MO 34/NK 38/SB 38/MO 37/NK 38/OA 24/-- 38/CD 45/PAR 40/-- 41/-- 45/SB 43/-- 39/CJ 47/NK 45/PD 47/--	case=nom|gender=fem|num=sg case=dat|*=True|num=sg|pers=1 _ _ _ _ case=nom|gender=masc|num=sg pos=True case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ pos=True _ _ case=dat|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _
